"","ST42Q01","ST42Q03","ST42Q05","ST42Q08","ST42Q10","ST29Q01","ST29Q03","ST29Q04","ST29Q06","ST42Q02","ST42Q04","ST42Q06","ST42Q07","ST42Q09","ST49Q01","ST49Q02","ST49Q03","ST49Q04","ST49Q05","ST49Q06","ST49Q07","ST49Q09"
"ST42Q01",1.11022302462516e-16,-0.0096536903311687,-0.0156386618251495,-0.0621923617119678,0.0683281286894228,-0.0126571114297508,0.0156623446293627,-0.0382727940169297,-0.0385951382388242,0.134790329154676,0.00527528417837547,-0.0019059072993094,0.016897511557345,0.0029533696885905,-0.00318871319043183,-0.235120326751612,-0.0597835928038573,-0.0285615515423887,0.033059268979116,-0.0438700087546195,0.0474697053332832,-0.0116913071334227
"ST42Q03",-0.0096536903311687,2.22044604925031e-16,0.0384336848879538,0.0207823225784109,-0.0486915539546401,-0.00195244463645672,-9.55984531243459e-05,-0.0385782039801647,-0.0516218721783957,0.139763676287376,0.0108846410481785,0.0205366437644082,0.0589654885353798,0.0415615051039998,-0.0114948714082366,-0.282038901825863,-0.0199198781672595,0.0172421437001398,0.0600675640582303,-0.0635063989654726,0.0645931159507946,0.0111954012197357
"ST42Q05",-0.0156386618251495,0.038433684887954,2.22044604925031e-16,0.0519104091766646,-0.0341512265720817,0.0979942770876167,0.0826066875823238,0.0523700663244223,0.0397630261690652,0.099098424772227,0.0467217525377243,0.0688375633275154,0.106593115655945,0.0678379942062213,0.0361405709432873,-0.222956641881642,0.0346300547034741,0.069560745184183,0.083792098821134,-0.0404338233236493,0.0556150265635184,0.0699696394086212
"ST42Q08",-0.0621923617119678,0.0207823225784109,0.0519104091766645,-1.11022302462516e-16,-0.0121561932057764,0.0555464616256449,0.0334368948846436,0.0142056030293406,-0.0181809439782876,0.139118781089132,-0.00297426188513339,0.029128443325349,0.0880434208089771,0.0638309511545457,-0.00931935891244167,-0.265106715908481,0.030611416925406,0.081648018699058,0.0654051430988291,-0.0317123124825141,0.0724479098255466,0.0700743767653377
"ST42Q10",0.0683281286894228,-0.0486915539546401,-0.0341512265720818,-0.0121561932057764,-1.11022302462516e-16,0.0121259697673815,-0.0111686787838459,-0.0456472815941745,-0.0259862758630883,0.101425716609826,-0.033496576435692,-0.0244351731616493,0.00580482655954617,-0.0208824634950044,-0.014381625742238,-0.271132590281845,-0.0604497441157795,-0.0159973975998287,0.0341078816745794,-0.0183854251928351,0.0456467605154311,-0.00250576351722976
"ST29Q01",-0.0126571114297508,-0.00195244463645672,0.0979942770876167,0.0555464616256449,0.0121259697673815,-1.11022302462516e-16,-0.00828570267650708,0.00507667885928498,-8.43470962406112e-05,0.0448894925572786,-0.06325137804715,-0.0325974926828985,0.0642585353195025,0.00586735755125894,0.087232604697239,0.203723193435979,0.0883114968886769,-0.0284911889757319,0.00926418959315725,0.0595546559907101,-0.00263777510209515,-0.0521863406091007
"ST29Q03",0.0156623446293627,-9.55984531243459e-05,0.0826066875823237,0.0334368948846435,-0.011168678783846,-0.00828570267650708,2.22044604925031e-16,0.00394652642546278,0.0112684066047303,0.0911528499298305,-0.0417579574050457,-0.0514798916555393,0.026217213430038,-0.00917383662740434,0.0647928662195043,0.227816076053089,0.0448862305841972,-0.05057349119559,-0.00851782783912527,-0.00998289973350971,-0.0302974790560077,-0.0727314874741644
"ST29Q04",-0.0382727940169297,-0.0385782039801647,0.0523700663244224,0.0142056030293406,-0.0456472815941745,0.00507667885928498,0.00394652642546267,0,-0.0107196129061018,0.03483100235617,-0.02571473724067,-0.00322614050707237,0.111465019475601,0.0165180829039047,0.0391345004038863,0.242303393446338,0.0354210769783594,-0.0626754597760141,-0.0445933694867472,-0.0160887420937358,-0.0431462446024018,-0.0886683879100998
"ST29Q06",-0.0385951382388242,-0.0516218721783957,0.0397630261690652,-0.0181809439782876,-0.0259862758630883,-8.43470962406112e-05,0.0112684066047303,-0.0107196129061018,0,0.0221956949765028,-0.0082569096644215,-0.0118077306518999,0.0718657090418645,0.0259223698206255,0.0788777492836714,0.254826108406594,0.0492571690796161,-0.0615783987591231,0.00724651080785188,0.0172190190513662,-0.0211126277694011,-0.068722666084965
"ST42Q02",0.134790329154676,0.139763676287376,0.099098424772227,0.139118781089132,0.101425716609826,0.0448894925572786,0.0911528499298305,0.03483100235617,0.0221956949765028,2.22044604925031e-16,-0.00545646825640222,0.0272535405403477,0.0118507270354407,0.064883938008032,0.0451678715386711,-0.257638429241759,0.107848284804772,0.146435713054984,0.145562101361285,-0.0128464563470243,0.132513056717671,0.134664771153623
"ST42Q04",0.00527528417837547,0.0108846410481785,0.0467217525377244,-0.00297426188513339,-0.033496576435692,-0.06325137804715,-0.0417579574050458,-0.02571473724067,-0.0082569096644215,-0.00545646825640222,2.22044604925031e-16,0.0158161729903696,-0.0196212835868096,0.0290532877854337,0.0257030124320646,0.300425960406511,-0.0127208099766907,-0.0490122729063053,-0.0298132468360115,-0.00936428576920602,-0.0729120947393034,-0.038320256904511
"ST42Q06",-0.0019059072993094,0.0205366437644082,0.0688375633275154,0.029128443325349,-0.0244351731616493,-0.0325974926828985,-0.0514798916555393,-0.00322614050707237,-0.0118077306518999,0.0272535405403477,0.0158161729903696,0,0.0179890615345293,0.0349823459946302,0.0260698115998191,0.322613443238249,0.0211186415835913,-0.0176541953382521,-0.0647162940892084,0.0608568088567787,-0.0159549829094244,-0.0238837548704753
"ST42Q07",0.016897511557345,0.0589654885353798,0.106593115655945,0.0880434208089771,0.00580482655954617,0.0642585353195025,0.026217213430038,0.111465019475601,0.0718657090418645,0.0118507270354407,-0.0196212835868096,0.0179890615345293,1.11022302462516e-16,0.0157932511984139,0.052350957232791,0.320581500514681,0.0537156869919116,0.00212826141752617,-0.0308750256225379,0.0225934146027172,-0.0272949881112563,-0.00645865828579137
"ST42Q09",0.0029533696885905,0.0415615051039998,0.0678379942062213,0.0638309511545457,-0.0208824634950044,0.00586735755125894,-0.00917383662740423,0.0165180829039047,0.0259223698206255,0.064883938008032,0.0290532877854337,0.0349823459946301,0.0157932511984138,0,0.0723016859356392,0.34847862929517,0.0770969846392823,0.0293754692965122,-0.0165613569171852,0.0611879850162204,0.0327060770309172,0.0149623805712679
"ST49Q01",-0.00318871319043183,-0.0114948714082366,0.0361405709432873,-0.00931935891244167,-0.014381625742238,0.087232604697239,0.0647928662195043,0.0391345004038863,0.0788777492836714,0.0451678715386711,0.0257030124320646,0.0260698115998191,0.052350957232791,0.0723016859356392,0,0.249749220539703,0.0144447084728171,-0.0737284073452638,0.0310368843195113,0.029537278837849,0.000305290177900375,-0.046048236379397
"ST49Q02",-0.235120326751612,-0.282038901825863,-0.222956641881642,-0.265106715908481,-0.271132590281845,0.203723193435979,0.227816076053089,0.242303393446338,0.254826108406594,-0.257638429241759,0.300425960406511,0.322613443238249,0.320581500514681,0.34847862929517,0.249749220539703,-1.11022302462516e-16,0.0183167530122026,-0.0721983469607537,-0.00915440059969752,0.0423685367369859,-0.025538954716974,-0.082037611238392
"ST49Q03",-0.0597835928038573,-0.0199198781672595,0.0346300547034741,0.030611416925406,-0.0604497441157795,0.0883114968886769,0.0448862305841972,0.0354210769783594,0.0492571690796161,0.107848284804772,-0.0127208099766907,0.0211186415835913,0.0537156869919116,0.0770969846392823,0.0144447084728171,0.0183167530122026,2.22044604925031e-16,0.0201810764952933,-0.0195272078173133,-0.0439705825668651,-0.0252020562303626,-0.0237722543228376
"ST49Q04",-0.0285615515423887,0.0172421437001398,0.069560745184183,0.081648018699058,-0.0159973975998287,-0.0284911889757319,-0.05057349119559,-0.0626754597760141,-0.0615783987591231,0.146435713054984,-0.0490122729063053,-0.0176541953382521,0.00212826141752617,0.0293754692965122,-0.0737284073452638,-0.0721983469607537,0.0201810764952932,-4.44089209850063e-16,0.0148915821737946,-0.0425294381785196,-0.0213228277161855,0.0580347850892087
"ST49Q05",0.033059268979116,0.0600675640582303,0.083792098821134,0.0654051430988291,0.0341078816745794,0.00926418959315725,-0.00851782783912527,-0.0445933694867472,0.00724651080785188,0.145562101361285,-0.0298132468360115,-0.0647162940892084,-0.0308750256225379,-0.0165613569171852,0.0310368843195113,-0.00915440059969752,-0.0195272078173133,0.0148915821737947,0,0.00634304054272844,-0.00752942818034991,-0.00287760197665565
"ST49Q06",-0.0438700087546195,-0.0635063989654726,-0.0404338233236493,-0.0317123124825141,-0.0183854251928351,0.0595546559907101,-0.00998289973350971,-0.0160887420937358,0.0172190190513662,-0.0128464563470243,-0.00936428576920603,0.0608568088567787,0.0225934146027172,0.0611879850162204,0.029537278837849,0.0423685367369859,-0.0439705825668651,-0.0425294381785196,0.00634304054272844,0,0.237345707363661,0.0134220226158075
"ST49Q07",0.0474697053332832,0.0645931159507946,0.0556150265635184,0.0724479098255466,0.0456467605154311,-0.00263777510209515,-0.0302974790560077,-0.0431462446024018,-0.0211126277694011,0.132513056717671,-0.0729120947393034,-0.0159549829094244,-0.0272949881112563,0.0327060770309172,0.000305290177900375,-0.025538954716974,-0.0252020562303626,-0.0213228277161855,-0.00752942818034996,0.237345707363661,2.22044604925031e-16,0.0232547493913673
"ST49Q09",-0.0116913071334227,0.0111954012197357,0.0699696394086212,0.0700743767653377,-0.00250576351722976,-0.0521863406091007,-0.0727314874741644,-0.0886683879100998,-0.068722666084965,0.134664771153623,-0.038320256904511,-0.0238837548704753,-0.0064586582857914,0.0149623805712679,-0.046048236379397,-0.082037611238392,-0.0237722543228377,0.0580347850892087,-0.00287760197665576,0.0134220226158075,0.0232547493913674,0
